author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
[法] 雨果 / 李丹 / 方于,https://book.douban.com/subject/1205054/,9787020017164, 1760,66.00元,1992-6,人民文学出版社,现实主义与浪漫主义的至高杰作,9.1,67031人,,悲惨世界（上中下）
（汉）司马迁 / （南朝宋）裴骃 集解 / （唐）司马贞 索隐 / （唐）张守节 正义 / （索隐）司马贞，（正义）张守节,https://book.douban.com/subject/1077847/,9787101003048, 3356,125.00,1982-11,中华书局,史家之绝唱，无韵之离骚,9.6,27223人,,史记（全十册）
[英] 奥斯丁,https://book.douban.com/subject/1083428/,9787020040179, 310,13.00元,1993-7,人民文学出版社,所有现代言情小说的母体,8.9,242789人,,傲慢与偏见
王小波,https://book.douban.com/subject/1089243/,9787536025080, 375,19.00元,1999-3,花城出版社,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,8.9,173448人,,黄金时代
刘擎,https://book.douban.com/subject/35313227/,9787513342919, 384,79.00元,2021-1,新星出版社,None,9.2,44917人,,刘擎西方现代思想讲义
[英] 弗吉尼亚·伍尔夫 / 周颖琪,https://book.douban.com/subject/34835082/,9787201151656, 160,39.8元,2019-10,天津人民出版社,None,9.2,55882人,,一间只属于自己的房间
刘子倩,https://book.douban.com/subject/3211779/,9787544241694, 251,28.00,2008-9,南海出版公司,数学好是一种极致的浪漫,8.9,549983人,,嫌疑人X的献身
白先勇,https://book.douban.com/subject/5337254/,9787563397655, 552,46.00元,2010-10,广西师范大学出版社,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,9.2,57683人,,孽子
[法] 阿尔贝·加缪 / 刘方,https://book.douban.com/subject/24257229/,9787532761753, 280,34.00元,2013-8,上海译文出版社,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,9.1,93449人,,鼠疫
马伯庸,https://book.douban.com/subject/36328704/,9787572610912, 276,45.00,2023-6,湖南文艺出版社,None,9.0,145713人,,太白金星有点烦
刘瑜,https://book.douban.com/subject/35819419/,9787559848048, 384,82.00元,2022-4,广西师范大学出版社,None,9.2,49964人,,可能性的艺术
